model,case_id,loss_ML,loss_MH,loss_MLrbf,loss_MHpca4
GPT-OSS,E001,0.5948944325900769,0.32901501595904714,0.5160689373175444,0.6030739967102404
GPT-OSS,E002,0.3708503323832545,0.2513437788713863,0.27258820137619083,0.3224394946638081
GPT-OSS,E003,0.42030720710418124,0.5018743180079019,0.444155349997974,0.4018276602180033
GPT-OSS,E004,0.41503163478781796,0.4845219172499856,0.5725139528575205,0.34183031452800866
GPT-OSS,E005,0.4637056191976148,0.23391812247494795,0.393612896973483,0.4891204209145984
GPT-OSS,E006,0.4423701648760951,0.43200810777615206,0.38213784940268014,0.3992354383333662
GPT-OSS,E007,0.42241013845080905,0.31240016763867573,0.4383885360519992,0.5100399145071528
GPT-OSS,E008,1.1357312389811798,0.5395698453022708,1.1525945633198482,0.9864080770450311
GPT-OSS,E009,0.36446474708696386,0.3237187553251573,0.3290615364771988,0.31073278292967144
GPT-OSS,E010,0.8502449158370391,0.48654531347534435,0.8969280091616193,0.8722241360611426
GPT-OSS,E011,0.5132443721608061,0.0507688515938341,0.5310649940551954,0.3716420453191337
GPT-OSS,E012,0.4142570418755517,0.23717802293015114,0.36163201665219674,0.4902733961823741
GPT-OSS,E013,0.5053852390248127,0.22018881067125068,0.46745168334276493,0.5494716440119788
GPT-OSS,E014,0.5132880917890397,0.47132109705928105,0.3554863249338069,0.5880307382394636
GPT-OSS,E015,0.5638875297581022,0.08435215832555053,0.517292446332693,0.6173400302016743
GPT-OSS,E016,0.687878164683697,0.07947631626752963,0.6696569228774918,0.6235531584095056
GPT-OSS,E017,0.37583296134763905,0.10020228942068235,0.3391139562842684,0.4656347868408358
GPT-OSS,E018,0.4008389077382809,0.5751747002036037,0.5467954075684245,0.43072950720338177
GPT-OSS,E019,0.5522551845764792,0.13135218718527297,0.47547794749559175,0.47474534599616314
GPT-OSS,E020,0.5020249205215491,0.5596246033517914,0.4722723580752296,0.36586119971535896
GPT-OSS,E021,1.074701836566053,0.6071689148588982,0.8900167051113705,1.1135134330207193
GPT-OSS,E022,0.5889621572879733,0.37205093010895934,0.5511030961567298,0.5668916633621377
GPT-OSS,E023,0.599984949963255,0.3277015265765974,0.6006235692189639,0.5178808345073423
GPT-OSS,E024,0.789928838286753,0.6170165807908417,0.7450998589512486,0.8336094530637916
GPT-OSS,E025,0.42456763134293884,0.22119152436564674,0.3740145776377761,0.2699097414315566
GPT-OSS,E026,0.5276042017749614,0.2917030090845222,0.5583998092544274,0.49406765598606867
GPT-OSS,E027,0.4161310103293264,0.28524235559529243,0.39981622841778686,0.3203833637073212
GPT-OSS,E028,0.681030562895245,0.9826768017200724,0.5101038812613987,0.7929591988878004
GPT-OSS,E029,0.42201529157829587,0.222455309645953,0.5467614362022133,0.4342892700800105
GPT-OSS,E030,0.5939044990452842,0.924773853031564,0.5496660953725547,0.752220910718313
GPT-OSS,E031,0.6030849720949629,0.41165338544589825,0.6176555573663904,0.577291972416984
GPT-OSS,E032,0.5197755845543082,0.5772409307966572,0.5009397812552729,0.35300209732614724
GPT-OSS,E033,0.41073591757808564,1.4251584437848055,0.5474683531651278,0.4233116166692882
GPT-OSS,E034,0.5419380499542713,0.23316707152026112,0.51315839124826,0.4947298309615379
GPT-OSS,E035,0.49235256529033666,0.42406986821706016,0.4665447451225358,0.3785905980190213
GPT-OSS,E036,0.5269599540672225,0.5919189934229705,0.4619009890829888,0.4688618647448621
GPT-OSS,E037,0.5188397931489315,0.7525943201638992,0.6020426332957213,0.7310250327030302
GPT-OSS,E038,0.36976088355432024,0.2775690956591667,0.30761120717095736,0.37469227442743225
GPT-OSS,E039,1.0878742534562844,1.0532290251150298,1.1338093113476568,1.0569159986028611
GPT-OSS,E040,0.6901306509263102,1.174180859512798,0.5948978617070317,0.8648660902436941
Qwen,A003,0.5922742226890532,1.0780379612521913,0.7645052592484094,0.8355497567561454
Qwen,A004,0.3828565541874896,0.34918817136531327,0.43414958352221067,0.3486474161846265
Qwen,A005,0.3858484555545366,0.38949384761192973,0.38214945574867054,0.4410540652450724
Qwen,A006,0.364339967315306,0.3855733277354177,0.5425354068785676,0.32975699493743627
Qwen,A007,0.4633406358589223,0.4886891711389153,0.3434268102836803,0.5455915609248134
Qwen,A008,0.54846231234,0.710382976889122,0.6836914992243701,0.6051318628405691
Qwen,A009,0.613449488124233,0.3425889015362209,0.5189276642633757,0.5980228705568266
Qwen,A010,0.5276870410096851,0.41436307034365927,0.5163182316850394,0.5102489159871568
Qwen,A013,0.6355314783165659,0.6277047630668677,0.6075252974297655,0.6104419014278568
Qwen,A014,0.9255072704610756,0.9153114777790499,1.0834630092605297,0.9854358222878483
Qwen,A015,0.5592199620145759,0.4569021939734842,0.5335606382069991,0.505647627747883
Qwen,A016,0.49027856024426064,0.817012174831954,0.3597312891150918,0.54928931796751
Qwen,A017,0.5374441673224064,0.3963446078083389,0.4873895746653112,0.5205306214859281
Qwen,A018,0.32609316246938436,0.40074449466567186,0.37906414429984114,0.37575373632862225
Qwen,A019,1.0502928139217023,1.3887543237829167,1.360384943762242,1.251203431311776
Qwen,A020,0.3597336217863485,0.4279990954038368,0.39852806315629835,0.3583809573195208
Qwen,A023,0.3485920214850823,0.40337530004511446,0.30914333334088867,0.3999580575582644
Qwen,A024,0.5562023200505027,0.5092561532037716,0.5738713441476863,0.5267365607756865
Qwen,A025,0.7224299481971703,0.8454834594519303,0.846212968377893,0.6810312041339255
Qwen,A026,0.8550940588181433,0.6699422097305533,0.9640993423854184,0.8681389599380495
Qwen,A027,0.5203530675779254,0.5891077919142338,0.6681308634631623,0.4963614326686138
Qwen,A028,0.6500232335806594,0.6945279343908334,0.5291759153766316,0.6635948659192976
Qwen,A029,1.16583466458268,0.9557564415535198,1.2241097035061395,1.0461687761628762
Qwen,A030,1.1616114663587722,1.006851055760086,1.0386090075047332,1.0654517490045903
Qwen,A033,0.7466767755238342,0.4129743563149022,0.569873183352733,0.8147715169608002
Qwen,A034,0.6655597325367046,0.5197051337082641,0.5209773742404067,0.7838124026119738
Qwen,A035,0.7757272171910511,0.5925298400470027,0.9189846029786353,0.7986278815291721
Qwen,A036,0.39973577931644355,0.2331018475030234,0.3509604705768842,0.3805617313052669
Qwen,A037,0.6146743429825663,0.2904017788179533,0.5151388426904887,0.8388110994919302
Qwen,A038,0.4424598769021255,0.23759448542767636,0.3155739585099281,0.5617415415537022
Qwen,A039,0.3607852748266107,0.2183142799450009,0.29823518536509447,0.33181197862508094
Qwen,A040,0.36915105716686003,0.2670320785939415,0.29794559139655863,0.4416882544887068
Qwen,B003,0.3836897974066149,0.2599287330814227,0.3779880463610643,0.47900319925299384
Qwen,B004,1.0958790310253264,0.8943555131724665,1.1066491898030009,0.9403980483181092
Qwen,B005,1.3318285638455936,1.774733448674398,1.2809119625802456,1.10613962738514
Qwen,B006,0.5980737182623367,0.45018626916912063,0.5737606389926752,0.7446911228369685
Qwen,B007,0.5659941662005513,0.4966027664051869,0.6912667166320334,0.4627583767504867
